year, month, count
2024, 7, 13785
2024, 6, 12296
2024, 5, 12193
2024, 4, 10137
2024, 3, 14119
2024, 2, 14728
2024, 1, 12165
2023, 12, 14719
2023, 11, 11496
2023, 10, 10617
2023, 9, 10952
2023, 8, 8833
2023, 7, 9638
2023, 6, 11586
2023, 5, 12055
2023, 4, 8448
2023, 3, 10901
2023, 2, 12800
2023, 1, 8755
2022, 12, 5634
2022, 11, 4036
2022, 10, 3489
2022, 9, 2486
2022, 8, 3929
2022, 7, 2952
2022, 6, 2320
2022, 5, 6033
2022, 4, 3477
2022, 3, 2093
2022, 2, 1759
2022, 1, 1287
2021, 12, 1477
2021, 11, 945
2021, 10, 1384
2021, 9, 305
2021, 8, 5587
2021, 7, 105